run	type	score	flagged
normal_2026-04-14_22-15-13	normal	0	no
normal_2026-04-14_22-15-22	normal	0	no
normal_2026-04-14_22-15-32	normal	0	no
normal_2026-04-14_22-15-41	normal	0	no
normal_2026-04-14_22-15-50	normal	0	no
scripted_2026-04-14_22-09-34	scripted	9	yes
scripted_2026-04-14_22-13-59	scripted	7	yes
scripted_2026-04-14_22-14-08	scripted	9	yes
scripted_2026-04-14_22-14-18	scripted	9	yes
scripted_2026-04-14_22-14-27	scripted	5	no
scripted_2026-04-14_22-14-36	scripted	5	no
scripted_2026-04-14_22-14-45	scripted	9	yes
scripted_2026-04-14_22-14-55	scripted	9	yes
scripted_2026-04-14_22-15-04	scripted	8	yes
